gts2020_id,ref,age_type,comment,MSWD,df,comment
K2,Lena et al. (2019),206Pb/238U,wtd mean,3.5,2,
K1,Mahoney et al. (2005),40Ar/39Ar,,,,Paper contains insufficient data to calculate an MSWD
J40,Lena et al. (2019),206Pb/238U,wtd mean,0.81,3,
J39,Selby et al. (2007),Re-Os,wtd mean,4.6,7,
J38,Pellenard et al. (2013),40Ar/39Ar,wtd mean,0.7,8,
J37,Evenchick et al. (2010),206Pb/238U,,,,Paywall
J36,Kamo and Ricciardi (2009),206Pb/238U,wtd mean,2,5,
J35,Koppers et al. (2003),40Ar/39Ar,wtd mean,0.4,17,
J34,Kowallis et al. (2001),40Ar/39Ar,wtd mean,1.6,5,No MSWD reported in original publication. Calculated from tabulated dates.
J33,Kowallis et al. (2001),40Ar/39Ar,wtd mean,0.8,7,No MSWD reported in original publication. Calculated from tabulated dates.
J32,Childe (1996),206Pb/238U,wtd mean,250,4,
J31,Sell et al. (2014),206Pb/238U,wtd mean,0.88,2,
J30,Palfy et al. (1997),206Pb/238U,wtd mean,0.43,5,No MSWD reported in original publication. Calculated from tabulated dates.
J29,Mazzini et al. (2010),206Pb/238U,concordia,0.1,15,
J28,Mazzini et al. (2010),206Pb/238U,concordia,1.3,9,
J27,Sell et al. (2014),206Pb/238U,wtd mean,0.74,5,MSWD of concordance + equivalence
J26,Sell et al. (2014),206Pb/238U,wtd mean,0.064,2,MSWD of concordance + equivalence
J25,Leanza et al. (2014),206Pb/238U,concordia,0.06,1,MSWD of concordance
J24,van Acken et al. (2019),Re-Os,isochron,24,13,
J23,Evenchick and McNicoll (1993),206Pb/238U,,,,Paywall
J22,Sell et al. (2014),206Pb/238U,wtd mean,0.26,3,
J21,De Lena et al. (2019),206Pb/238U,wtd mean,1.2,6,
J20,De Lena et al. (2019),206Pb/238U,wtd mean,0.76,3,
J19,De Lena et al. (2019),206Pb/238U,wtd mean,1.4,4,
J18,De Lena et al. (2019),206Pb/238U,wtd mean,2.8,2,
J17,De Lena et al. (2019),206Pb/238U,wtd mean,1.3,3,
J16,Palfy et al. (2000),206Pb/238U,wtd mean,4.3,3,Calculated from tabulated dates
J15,Johansson and McNicoll (1997),206Pb/238U,,,,Paywall
J14,Them et al. (2017),206Pb/238U,wtd mean,1.17,2,
J13,De Lena et al. (2019),206Pb/238U,wtd mean,0.53,4,
J12,De Lena et al. (2019),206Pb/238U,wtd mean,1.2,2,
J11,De Lena et al. (2019),206Pb/238U,wtd mean,0.52,4,
J10,De Lena et al. (2019),206Pb/238U,wtd mean,0.67,3,
J9,Them et al. (2017),206Pb/238U,wtd mean,0.89,2,
J8,Leanza et al. (2014),206Pb/238U,concordia,0.08,1,MSWD of concordance
J7,Leanza et al. (2014),206Pb/238U,concordia,2,1,MSWD of concordance
J6,Palfy et al. (2000),206Pb/238U,wtd mean,2.6,2,Calculated from tabulated dates
J5,Schaltegger et al. (2008),206Pb/238U,wtd mean,0.42,7,
J4,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
J3,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
J2,Schoene et al. (2010),206Pb/238U,wtd mean,0.4,2,"Three data treatments in paper, picked the one used by the GTS"
J1,Schoene et al. (2010),206Pb/238U,wtd mean,,,"Single grain, MSWD not defined"
T39,Schoene et al. (2010),206Pb/238U,wtd mean,,,Unclear which age was chosen
T38,Schaltegger et al. (2008),206Pb/238U,wtd mean,0.72,6,"Single grain, MSWD not defined"
T37,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T36,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T35,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T34,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T33,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T32,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T31,Guex et al. (2012),206Pb/238U,,,,"Single grain, MSWD not defined"
T30,Furin et al. (2006),206Pb/238U,wtd mean,1.1,7,
T29,Mietto et al. (2012),206Pb/238U,wtd mean,1.6,6,
T28,Bruhwiler et al. (2007),206Pb/238U,wtd mean,1.8,8,
T27,Palfy et al. (2003),206Pb/238U,concordia,,,No MSWD reported in original publication. Insufficient information provided to calculate MSWD.
T26,Wotzlaw et al. (2018),206Pb/238U,wtd mean,2.1,5,
T25,Wotzlaw et al. (2018),206Pb/238U,wtd mean,1.9,7,
T24,Wotzlaw et al. (2018),206Pb/238U,wtd mean,0.37,2,
T23,Wotzlaw et al. (2018),206Pb/238U,wtd mean,0.81,5,
T21,Wotzlaw et al. (2018),206Pb/238U,wtd mean,0.34,4,
T20,Wotzlaw et al. (2018),206Pb/238U,wtd mean,0.62,5,
T19,Mundil et al. (2010),206Pb/238U,wtd mean,1.5,5,
T18,Mundil et al. (2003),206Pb/238U,wtd mean,2.6,5,
T17,Mundil et al. (2003),206Pb/238U,wtd mean,2.5,6,
T16,Ovtcharova et al. (2006),206Pb/238U,wtd mean,0.11,3,
T15,Ovtcharova et al. (2006),206Pb/238U,wtd mean,0.25,5,
T14,Ramezani et al. (2007),206Pb/238U,wtd mean,1.2,16,
T13,Lehrmann et al. (2015),206Pb/238U,wtd mean,0.37,1,
T12,Lehrmann et al. (2015),206Pb/238U,wtd mean,0.39,3,
T11,Lehrmann et al. (2006),206Pb/238U,wtd mean,0.93,10,
T10,Lehrmann et al. (2015),206Pb/238U,wtd mean,0.55,5,
T9,Ovtcharova et al. (2006),206Pb/238U,wtd mean,0.13,5,
T7,Ovtcharova et al. (2006),206Pb/238U,wtd mean,0.7,6,
T6,Galfetti et al. (2007),206Pb/238U,,,,Could not find the reported sample in this paper
T5,Burgess et al. (2014),206Pb/238U,wtd mean,0.24,10,
T4,Burgess et al. (2014),206Pb/238U,wtd mean,0.86,8,
T3,Baresel et al. (2017),206Pb/238U,wtd mean,0.1,7,
T2,Baresel et al. (2017),206Pb/238U,wtd mean,0.26,7,
T1,Burgess et al. (2014),206Pb/238U,wtd mean,0.76,12,
P37,Burgess et al. (2014),206Pb/238U,wtd mean,1.3,15,
P36,Burgess et al. (2014),206Pb/238U,wtd mean,0.5,11,
P35,Baresel et al. (2017),206Pb/238U,wtd mean,0.49,6,
P34,Baresel et al. (2017),206Pb/238U,wtd mean,0.59,6,
P33,Baresel et al. (2017),206Pb/238U,wtd mean,0.13,2,
P32,Baresel et al. (2017),206Pb/238U,wtd mean,0.96,10,
