name,U238/Pb206,s[U238/Pb206],Pb207/Pb206,s[Pb207/Pb206],rho
DLNR_029,10.155137179759311,0.19902721618726082,0.06476680905724672,0.0040422144215136405,0.3409147226181277
DLNR_030,4.8632813003314705,0.04274149635451685,0.08028257633125588,0.0009666737729820938,0.4740789631474566
DLNR_031,10.131195370321603,0.13985471755114676,0.06814939117349968,0.0035021972090747474,0.1952663811519026
DLNR_032,8.844576374861818,0.08239796014440186,0.06219946582914089,0.0006662945146715014,0.16149184430454086
DLNR_033,5.056700660430737,0.047005732726085075,0.07704428469803692,0.0015048462702473054,0.21954385147761507
DLNR_034,5.493790657685082,0.05236500393926316,0.07127037969675526,0.001391748940643515,0.18750200343574838
DLNR_035,5.246452094331122,0.05414812493581018,0.07754354928668239,0.0017685752780277546,0.20767783700685027
DLNR_036,5.499561095118839,0.06581713753653706,0.07381133942334801,0.0023375402037670388,0.10838614842856376
DLNR_037,7.768694250453308,0.08131002237504935,0.07112010979240513,0.0015290473630965643,0.22355914124886334
DLNR_038,1.8909184925426183,0.011126231847749486,0.18252412623255454,0.0009484660421071475,0.3048358172381961
DLNR_039,6.433007608496309,0.04887251487844408,0.07051306066658634,0.0008216036146523351,0.016945997645834467
DLNR_040,15.115168396951445,0.17192279825417814,0.050596093985238066,0.0018834352216363487,0.29696619148097664
DLNR_041,3.5647855548465843,0.03644129171286089,0.09623307098642812,0.0016192184381917114,0.21239364773636127
DLNR_042,5.179114546695558,0.06098640582556201,0.07948103441440342,0.0017671251151101979,0.2537355036109985
DLNR_043,5.380106446729523,0.0524953833800426,0.07536425380790765,0.0008866722341874375,0.3220505953103752
DLNR_044,6.273852671773698,0.07366460597946942,0.07287056055349533,0.001631239275843654,0.19293846943793203
DLNR_045,5.104005354048853,0.0756278743628916,0.08042562448909903,0.0038255435122945755,0.3853540866376926
DLNR_046,4.901134094304666,0.04321801606182381,0.07856566079572286,0.0009044051062672008,0.08659829753514732
DLNR_047,10.486154480963272,0.11140905600296261,0.05987783851516918,0.0009077229263866986,0.30661067634295036
DLNR_048,5.707492376598295,0.0736789539814246,0.0743275537372046,0.001825573368362476,0.3735266209634844
DLNR_049,11.585027802712311,0.13146491748137906,0.0570982700323231,0.0011474455922074007,0.08737317153185571
DLNR_050,5.384735142573433,0.05449188210101722,0.07605660687105885,0.0007680008918198646,0.23814030110902143
DLNR_051,6.078133628373084,0.06163583164997045,0.07266277204187722,0.0015643361653405702,0.41353837534103494
DLNR_052,10.698028943621981,0.10896201720605922,0.058811931313175976,0.0006688656800786721,0.35117278832215526
DLNR_053,10.972009105635834,0.12093779508951218,0.05971447217392986,0.0010005985047152979,0.38936571021073924
DLNR_054,6.640232925123538,0.12916579528877634,0.06247038782173592,0.003810752556573427,0.4391336531060585
DLNR_055,8.754497536291737,0.16459935189484096,0.0642260653591347,0.0035705001398677037,0.08344391830752738
DLNR_056,4.964763627871164,0.03734361740718781,0.07938390940279955,0.0008059270281269132,0.3991144202483117
DLNR_057,3.2004766238354625,0.03231080186704127,0.10667212148953022,0.0007744734261691922,0.5391387675606109
DLNR_058,9.912969359034319,0.11834596967370999,0.05942620199433276,0.0009169383943098018,0.3175386642036029
DLNR_059,5.043448431824049,0.0566025866038627,0.07687908269592089,0.0010962693345479336,0.4877182451609222
DLNR_060,7.035575219652136,0.07829869919815047,0.06975919782072086,0.0009899379664646292,0.2661616522762802
DLNR_061,9.472660947304492,0.1301789417683128,0.0612148683768096,0.0016169883408522292,0.41367750690112254
DLNR_062,11.575574786134057,0.112875665038867,0.057605350495380764,0.000897387039800938,0.423052148334352
DLNR_063,5.83633344767169,0.05809330227198122,0.07242525328633287,0.001510084134853237,0.2142763248590291
DLNR_064,5.599894577201212,0.04777166017075579,0.0745077315603381,0.0008001182608122335,0.2338921033064558
DLNR_065,7.748006524843792,0.12004876325173558,0.06527339424299132,0.0024646482960683142,0.2900331363859597
