name,U238/Pb206,s[U238/Pb206],Pb207/Pb206,s[Pb207/Pb206],rho
DLNR_060,7.151318548389481,0.0989806732837175,0.06800496577694853,0.0011524047180742215,0.28834450361295916
DLNR_061,9.328245550477718,0.1495353042695009,0.06151340340519587,0.0019538155141017245,0.38105815412442257
DLNR_062,11.59776876451666,0.13146329684358438,0.05811733829863985,0.0011400076243096478,0.39755610622183885
DLNR_063,5.822173524783536,0.06156813502348834,0.07331612036341208,0.0016916779865251118,0.18857295222050385
DLNR_064,5.656214834404551,0.054036333782880405,0.07432565036300667,0.0009408724406505814,0.20400790209583972
DLNR_065,7.905991095456631,0.14101022476349018,0.06482237463320337,0.0026835130252722415,0.33443811727400546
DLNR_066,11.127192561732388,0.1290740671548545,0.05817155215675621,0.0018804716741442902,0.05925139000925631
DLNR_067,10.968604479740463,0.13358593204628882,0.05893261055350055,0.0010359893334050178,0.3494117113181801
DLNR_068,4.930264969451455,0.062184115188737676,0.07977195169290763,0.0023833666406508757,0.1492095093205955
DLNR_069,3.063964704336567,0.03179249881108726,0.10951215218960578,0.0010988293136773672,0.32845383953459456
DLNR_070,9.795413706708839,0.21034015933483502,0.057774165839373955,0.005388801772598883,0.027767656120627458
DLNR_071,6.433053348242311,0.08589428857257396,0.07264397439756799,0.0018951026539366477,0.05505642461924307
DLNR_072,4.970566321780927,0.08300148561707552,0.07940937499156536,0.0018187510723252137,0.3756480380559414
DLNR_073,8.931473975107092,0.14503215679608047,0.062259825589478596,0.0030872430663388822,0.42870575202830263
DLNR_074,1.9466276380061047,0.023309765481720982,0.17927683151369878,0.0012120021909580016,0.32310633413224443
DLNR_075,7.232621618496482,0.09013166426539732,0.0681796649515079,0.0012520561092563508,0.09714701956141317
DLNR_076,5.694432453750808,0.06639620429498107,0.07373734078539246,0.0008044858683093105,0.5738545131215593
DLNR_077,5.089032326710633,0.06342646033409778,0.07779992378111458,0.0014303629412705748,0.194625676263181
DLNR_078,11.391638375865387,0.1311864990305083,0.058201603614354544,0.0009389431283088996,0.3030473755523413
DLNR_079,3.0596294950360514,0.034907669461109465,0.10857607857292786,0.0010848913606603264,0.36259028742113203
DLNR_080,5.204997471714379,0.09032983675492134,0.07749289591545569,0.0029571306518522277,0.29324661816951864
DLNR_081,3.851601924046841,0.04054603976283026,0.09304523189233636,0.0010212923215304115,0.5034838749838335
DLNR_082,8.61568612821889,0.10942992717832582,0.06302207949866129,0.0013271314840039876,0.25624710456325467
DLNR_083,4.820862410911312,0.07223336750534746,0.0787504156586922,0.0013406307129785163,0.5051843677117792
